rabbitmq-1  | 2026-07-13 16:52:20.554620+08:00 [notice] <0.44.0> Application syslog exited with reason: stopped
rabbitmq-1  | 2026-07-13 16:52:20.592702+08:00 [notice] <0.254.0> Logging: switching to configured handler(s); following messages may not be visible in this log output
rabbitmq-1  | [38;5;87m2026-07-13 16:52:20.593445+08:00 [notice] <0.254.0> Logging: configured log handlers are now ACTIVE[0m
rabbitmq-1  | 2026-07-13 16:52:20.605314+08:00 [info] <0.254.0> ra: starting system quorum_queues[0m
rabbitmq-1  | 2026-07-13 16:52:20.605411+08:00 [info] <0.254.0> starting Ra system: quorum_queues in directory: /var/lib/rabbitmq/mnesia/rabbit@6a49b511635c/quorum/rabbit@6a49b511635c[0m
rabbitmq-1  | 2026-07-13 16:52:20.706452+08:00 [info] <0.270.0> ra system 'quorum_queues' running pre init for 0 registered servers[0m
rabbitmq-1  | 2026-07-13 16:52:20.721009+08:00 [info] <0.271.0> ra: meta data store initialised for system quorum_queues. 0 record(s) recovered[0m
rabbitmq-1  | [38;5;87m2026-07-13 16:52:20.741943+08:00 [notice] <0.276.0> WAL: ra_log_wal init, open tbls: ra_log_open_mem_tables, closed tbls: ra_log_closed_mem_tables[0m
rabbitmq-1  | 2026-07-13 16:52:20.794348+08:00 [info] <0.254.0> ra: starting system coordination[0m
rabbitmq-1  | 2026-07-13 16:52:20.794412+08:00 [info] <0.254.0> starting Ra system: coordination in directory: /var/lib/rabbitmq/mnesia/rabbit@6a49b511635c/coordination/rabbit@6a49b511635c[0m
rabbitmq-1  | 2026-07-13 16:52:20.797145+08:00 [info] <0.284.0> ra system 'coordination' running pre init for 0 registered servers[0m
rabbitmq-1  | 2026-07-13 16:52:20.798095+08:00 [info] <0.285.0> ra: meta data store initialised for system coordination. 0 record(s) recovered[0m
rabbitmq-1  | [38;5;87m2026-07-13 16:52:20.798246+08:00 [notice] <0.290.0> WAL: ra_coordination_log_wal init, open tbls: ra_coordination_log_open_mem_tables, closed tbls: ra_coordination_log_closed_mem_tables[0m
rabbitmq-1  | 2026-07-13 16:52:20.807988+08:00 [info] <0.254.0> ra: starting system coordination[0m
rabbitmq-1  | 2026-07-13 16:52:20.808059+08:00 [info] <0.254.0> starting Ra system: coordination in directory: /var/lib/rabbitmq/mnesia/rabbit@6a49b511635c/coordination/rabbit@6a49b511635c[0m
rabbitmq-1  | 2026-07-13 16:52:21.002680+08:00 [info] <0.254.0> Waiting for Khepri leader for 30000 ms, 9 retries left[0m
rabbitmq-1  | [38;5;87m2026-07-13 16:52:21.023117+08:00 [notice] <0.294.0> RabbitMQ metadata store: candidate -> leader in term: 1 machine version: 1[0m
rabbitmq-1  | 2026-07-13 16:52:21.031906+08:00 [info] <0.254.0> Khepri leader elected[0m
rabbitmq-1  | 2026-07-13 16:52:21.031965+08:00 [info] <0.254.0> Waiting for Khepri projections for 30000 ms, 9 retries left[0m
rabbitmq-1  | 2026-07-13 16:52:21.508022+08:00 [info] <0.254.0> [0m
rabbitmq-1  | 2026-07-13 16:52:21.508022+08:00 [info] <0.254.0>  Starting RabbitMQ 3.13.7 on Erlang 26.2.5.16 [jit][0m
rabbitmq-1  | 2026-07-13 16:52:21.508022+08:00 [info] <0.254.0>  Copyright (c) 2007-2024 Broadcom Inc and/or its subsidiaries[0m
rabbitmq-1  | 2026-07-13 16:52:21.508022+08:00 [info] <0.254.0>  Licensed under the MPL 2.0. Website: https://rabbitmq.com[0m
rabbitmq-1  |
rabbitmq-1  |   ##  ##      RabbitMQ 3.13.7
rabbitmq-1  |   ##  ##
rabbitmq-1  |   ##########  Copyright (c) 2007-2024 Broadcom Inc and/or its subsidiaries
rabbitmq-1  |   ######  ##
rabbitmq-1  |   ##########  Licensed under the MPL 2.0. Website: https://rabbitmq.com
rabbitmq-1  |
rabbitmq-1  |   Erlang:      26.2.5.16 [jit]
rabbitmq-1  |   TLS Library: OpenSSL - OpenSSL 3.1.8 11 Feb 2025
rabbitmq-1  |   Release series support status: see https://www.rabbitmq.com/release-information
rabbitmq-1  |
rabbitmq-1  |   Doc guides:  https://www.rabbitmq.com/docs
rabbitmq-1  |   Support:     https://www.rabbitmq.com/docs/contact
rabbitmq-1  |   Tutorials:   https://www.rabbitmq.com/tutorials
rabbitmq-1  |   Monitoring:  https://www.rabbitmq.com/docs/monitoring
rabbitmq-1  |   Upgrading:   https://www.rabbitmq.com/docs/upgrade
rabbitmq-1  |
rabbitmq-1  |   Logs: <stdout>
rabbitmq-1  |
rabbitmq-1  |   Config file(s): /etc/rabbitmq/conf.d/10-defaults.conf
rabbitmq-1  |
rabbitmq-1  |   Starting broker...2026-07-13 16:52:21.509207+08:00 [info] <0.254.0> [0m
rabbitmq-1  | 2026-07-13 16:52:21.509207+08:00 [info] <0.254.0>  node           : rabbit@6a49b511635c[0m
rabbitmq-1  | 2026-07-13 16:52:21.509207+08:00 [info] <0.254.0>  home dir       : /var/lib/rabbitmq[0m
rabbitmq-1  | 2026-07-13 16:52:21.509207+08:00 [info] <0.254.0>  config file(s) : /etc/rabbitmq/conf.d/10-defaults.conf[0m
rabbitmq-1  | 2026-07-13 16:52:21.509207+08:00 [info] <0.254.0>  cookie hash    : uCJUv/KSML/gJRKnnBkluA==[0m
rabbitmq-1  | 2026-07-13 16:52:21.509207+08:00 [info] <0.254.0>  log(s)         : <stdout>[0m
rabbitmq-1  | 2026-07-13 16:52:21.509207+08:00 [info] <0.254.0>  data dir       : /var/lib/rabbitmq/mnesia/rabbit@6a49b511635c[0m
rabbitmq-1  | 2026-07-13 16:52:22.294108+08:00 [info] <0.254.0> Running boot step pre_boot defined by app rabbit[0m
rabbitmq-1  | 2026-07-13 16:52:22.294165+08:00 [info] <0.254.0> Running boot step rabbit_global_counters defined by app rabbit[0m
rabbitmq-1  | 2026-07-13 16:52:22.294395+08:00 [info] <0.254.0> Running boot step rabbit_osiris_metrics defined by app rabbit[0m
rabbitmq-1  | 2026-07-13 16:52:22.294586+08:00 [info] <0.254.0> Running boot step rabbit_core_metrics defined by app rabbit[0m
rabbitmq-1  | 2026-07-13 16:52:22.296297+08:00 [info] <0.254.0> Running boot step rabbit_alarm defined by app rabbit[0m
rabbitmq-1  | 2026-07-13 16:52:22.311100+08:00 [info] <0.331.0> Memory high watermark set to 3009 MiB (3155872972 bytes) of 7524 MiB (7889682432 bytes) total[0m
rabbitmq-1  | 2026-07-13 16:52:22.314819+08:00 [info] <0.333.0> Enabling free disk space monitoring (disk free space: 1001924296704, total memory: 7889682432)[0m
rabbitmq-1  | 2026-07-13 16:52:22.314873+08:00 [info] <0.333.0> Disk free limit set to 50MB[0m
rabbitmq-1  | 2026-07-13 16:52:22.317289+08:00 [info] <0.254.0> Running boot step code_server_cache defined by app rabbit[0m
rabbitmq-1  | 2026-07-13 16:52:22.317391+08:00 [info] <0.254.0> Running boot step file_handle_cache defined by app rabbit[0m
rabbitmq-1  | 2026-07-13 16:52:22.327267+08:00 [info] <0.336.0> Limiting to approx 1048479 file handles (943629 sockets)[0m
rabbitmq-1  | 2026-07-13 16:52:22.327480+08:00 [info] <0.337.0> FHC read buffering: OFF[0m
rabbitmq-1  | 2026-07-13 16:52:22.327507+08:00 [info] <0.337.0> FHC write buffering: ON[0m
rabbitmq-1  | 2026-07-13 16:52:22.328063+08:00 [info] <0.254.0> Running boot step worker_pool defined by app rabbit[0m
rabbitmq-1  | 2026-07-13 16:52:22.328130+08:00 [info] <0.317.0> Will use 16 processes for default worker pool[0m
rabbitmq-1  | 2026-07-13 16:52:22.328156+08:00 [info] <0.317.0> Starting worker pool 'worker_pool' with 16 processes in it[0m
rabbitmq-1  | 2026-07-13 16:52:22.328577+08:00 [info] <0.254.0> Running boot step database defined by app rabbit[0m
rabbitmq-1  | 2026-07-13 16:52:22.328939+08:00 [info] <0.254.0> Peer discovery: configured backend: rabbit_peer_discovery_classic_config[0m
rabbitmq-1  | [38;5;87m2026-07-13 16:52:22.330081+08:00 [notice] <0.318.0> Feature flags: attempt to enable `detailed_queues_endpoint`...[0m
rabbitmq-1  | [38;5;87m2026-07-13 16:52:22.424717+08:00 [notice] <0.318.0> Feature flags: `detailed_queues_endpoint` enabled[0m
rabbitmq-1  | [38;5;87m2026-07-13 16:52:22.424885+08:00 [notice] <0.318.0> Feature flags: attempt to enable `quorum_queue_non_voters`...[0m
rabbitmq-1  | [38;5;87m2026-07-13 16:52:22.518745+08:00 [notice] <0.318.0> Feature flags: `quorum_queue_non_voters` enabled[0m
rabbitmq-1  | [38;5;87m2026-07-13 16:52:22.518965+08:00 [notice] <0.318.0> Feature flags: attempt to enable `stream_update_config_command`...[0m
rabbitmq-1  | [38;5;87m2026-07-13 16:52:22.602391+08:00 [notice] <0.318.0> Feature flags: `stream_update_config_command` enabled[0m
rabbitmq-1  | [38;5;87m2026-07-13 16:52:22.602563+08:00 [notice] <0.318.0> Feature flags: attempt to enable `stream_filtering`...[0m
rabbitmq-1  | [38;5;87m2026-07-13 16:52:22.694563+08:00 [notice] <0.318.0> Feature flags: `stream_filtering` enabled[0m
rabbitmq-1  | [38;5;87m2026-07-13 16:52:22.694734+08:00 [notice] <0.318.0> Feature flags: attempt to enable `stream_sac_coordinator_unblock_group`...[0m
rabbitmq-1  | [38;5;87m2026-07-13 16:52:22.786291+08:00 [notice] <0.318.0> Feature flags: `stream_sac_coordinator_unblock_group` enabled[0m
rabbitmq-1  | [38;5;87m2026-07-13 16:52:22.786558+08:00 [notice] <0.318.0> Feature flags: attempt to enable `restart_streams`...[0m
rabbitmq-1  | [38;5;87m2026-07-13 16:52:22.893091+08:00 [notice] <0.318.0> Feature flags: `restart_streams` enabled[0m
rabbitmq-1  | [38;5;87m2026-07-13 16:52:22.893435+08:00 [notice] <0.318.0> Feature flags: attempt to enable `message_containers`...[0m
rabbitmq-1  | [38;5;87m2026-07-13 16:52:23.001121+08:00 [notice] <0.318.0> Feature flags: `message_containers` enabled[0m
rabbitmq-1  | [38;5;87m2026-07-13 16:52:23.001408+08:00 [notice] <0.318.0> Feature flags: attempt to enable `message_containers_deaths_v2`...[0m
rabbitmq-1  | [38;5;87m2026-07-13 16:52:23.101970+08:00 [notice] <0.318.0> Feature flags: `message_containers_deaths_v2` enabled[0m
rabbitmq-1  | 2026-07-13 16:52:23.102397+08:00 [info] <0.254.0> DB: virgin node -> run peer discovery[0m
rabbitmq-1  | [38;5;214m2026-07-13 16:52:23.102438+08:00 [warning] <0.254.0> Classic peer discovery backend: list of nodes does not contain the local node [][0m
rabbitmq-1  | [38;5;87m2026-07-13 16:52:23.116781+08:00 [notice] <0.44.0> Application mnesia exited with reason: stopped[0m
rabbitmq-1  | 2026-07-13 16:52:23.474814+08:00 [info] <0.254.0> Waiting for Mnesia tables for 30000 ms, 9 retries left[0m
rabbitmq-1  | 2026-07-13 16:52:23.475043+08:00 [info] <0.254.0> Successfully synced tables from a peer[0m
rabbitmq-1  | 2026-07-13 16:52:23.475135+08:00 [info] <0.254.0> Waiting for Mnesia tables for 30000 ms, 9 retries left[0m
rabbitmq-1  | 2026-07-13 16:52:23.475240+08:00 [info] <0.254.0> Successfully synced tables from a peer[0m
rabbitmq-1  | 2026-07-13 16:52:23.503988+08:00 [info] <0.254.0> Waiting for Mnesia tables for 30000 ms, 9 retries left[0m
rabbitmq-1  | 2026-07-13 16:52:23.504275+08:00 [info] <0.254.0> Successfully synced tables from a peer[0m
rabbitmq-1  | 2026-07-13 16:52:23.504600+08:00 [info] <0.254.0> Running boot step tracking_metadata_store defined by app rabbit[0m
rabbitmq-1  | 2026-07-13 16:52:23.504730+08:00 [info] <0.572.0> Setting up a table for connection tracking on this node: tracked_connection[0m
rabbitmq-1  | 2026-07-13 16:52:23.504805+08:00 [info] <0.572.0> Setting up a table for per-vhost connection counting on this node: tracked_connection_per_vhost[0m
rabbitmq-1  | 2026-07-13 16:52:23.504875+08:00 [info] <0.572.0> Setting up a table for per-user connection counting on this node: tracked_connection_per_user[0m
rabbitmq-1  | 2026-07-13 16:52:23.504992+08:00 [info] <0.572.0> Setting up a table for channel tracking on this node: tracked_channel[0m
rabbitmq-1  | 2026-07-13 16:52:23.505101+08:00 [info] <0.572.0> Setting up a table for channel tracking on this node: tracked_channel_per_user[0m
rabbitmq-1  | 2026-07-13 16:52:23.505281+08:00 [info] <0.254.0> Running boot step networking_metadata_store defined by app rabbit[0m
rabbitmq-1  | 2026-07-13 16:52:23.505403+08:00 [info] <0.254.0> Running boot step feature_flags defined by app rabbit[0m
rabbitmq-1  | 2026-07-13 16:52:23.505588+08:00 [info] <0.254.0> Running boot step codec_correctness_check defined by app rabbit[0m
rabbitmq-1  | 2026-07-13 16:52:23.505624+08:00 [info] <0.254.0> Running boot step external_infrastructure defined by app rabbit[0m
rabbitmq-1  | 2026-07-13 16:52:23.505663+08:00 [info] <0.254.0> Running boot step rabbit_event defined by app rabbit[0m
rabbitmq-1  | 2026-07-13 16:52:23.506121+08:00 [info] <0.254.0> Running boot step rabbit_registry defined by app rabbit[0m
rabbitmq-1  | 2026-07-13 16:52:23.506514+08:00 [info] <0.254.0> Running boot step rabbit_auth_mechanism_amqplain defined by app rabbit[0m
rabbitmq-1  | 2026-07-13 16:52:23.506696+08:00 [info] <0.254.0> Running boot step rabbit_auth_mechanism_cr_demo defined by app rabbit[0m
rabbitmq-1  | 2026-07-13 16:52:23.506798+08:00 [info] <0.254.0> Running boot step rabbit_auth_mechanism_plain defined by app rabbit[0m
rabbitmq-1  | 2026-07-13 16:52:23.506852+08:00 [info] <0.254.0> Running boot step rabbit_exchange_type_direct defined by app rabbit[0m
rabbitmq-1  | 2026-07-13 16:52:23.506888+08:00 [info] <0.254.0> Running boot step rabbit_exchange_type_fanout defined by app rabbit[0m
rabbitmq-1  | 2026-07-13 16:52:23.506927+08:00 [info] <0.254.0> Running boot step rabbit_exchange_type_headers defined by app rabbit[0m
rabbitmq-1  | 2026-07-13 16:52:23.506956+08:00 [info] <0.254.0> Running boot step rabbit_exchange_type_topic defined by app rabbit[0m
rabbitmq-1  | 2026-07-13 16:52:23.507006+08:00 [info] <0.254.0> Running boot step rabbit_mirror_queue_mode_all defined by app rabbit[0m
rabbitmq-1  | 2026-07-13 16:52:23.507046+08:00 [info] <0.254.0> Running boot step rabbit_mirror_queue_mode_exactly defined by app rabbit[0m
rabbitmq-1  | 2026-07-13 16:52:23.507088+08:00 [info] <0.254.0> Running boot step rabbit_mirror_queue_mode_nodes defined by app rabbit[0m
rabbitmq-1  | 2026-07-13 16:52:23.507129+08:00 [info] <0.254.0> Running boot step rabbit_priority_queue defined by app rabbit[0m
rabbitmq-1  | 2026-07-13 16:52:23.507148+08:00 [info] <0.254.0> Priority queues enabled, real BQ is rabbit_variable_queue[0m
rabbitmq-1  | 2026-07-13 16:52:23.507219+08:00 [info] <0.254.0> Running boot step rabbit_queue_location_client_local defined by app rabbit[0m
rabbitmq-1  | 2026-07-13 16:52:23.507263+08:00 [info] <0.254.0> Running boot step rabbit_queue_location_min_masters defined by app rabbit[0m
rabbitmq-1  | 2026-07-13 16:52:23.507326+08:00 [info] <0.254.0> Running boot step rabbit_queue_location_random defined by app rabbit[0m
rabbitmq-1  | 2026-07-13 16:52:23.507366+08:00 [info] <0.254.0> Running boot step kernel_ready defined by app rabbit[0m
rabbitmq-1  | 2026-07-13 16:52:23.507384+08:00 [info] <0.254.0> Running boot step rabbit_sysmon_minder defined by app rabbit[0m
rabbitmq-1  | 2026-07-13 16:52:23.507504+08:00 [info] <0.254.0> Running boot step rabbit_epmd_monitor defined by app rabbit[0m
rabbitmq-1  | 2026-07-13 16:52:23.508864+08:00 [info] <0.580.0> epmd monitor knows us, inter-node communication (distribution) port: 25672[0m
rabbitmq-1  | 2026-07-13 16:52:23.508993+08:00 [info] <0.254.0> Running boot step guid_generator defined by app rabbit[0m
rabbitmq-1  | 2026-07-13 16:52:23.517003+08:00 [info] <0.254.0> Running boot step rabbit_node_monitor defined by app rabbit[0m
rabbitmq-1  | 2026-07-13 16:52:23.517580+08:00 [info] <0.584.0> Starting rabbit_node_monitor (in ignore mode)[0m
rabbitmq-1  | 2026-07-13 16:52:23.517759+08:00 [info] <0.254.0> Running boot step delegate_sup defined by app rabbit[0m
rabbitmq-1  | 2026-07-13 16:52:23.518236+08:00 [info] <0.254.0> Running boot step rabbit_memory_monitor defined by app rabbit[0m
