rabbitmq-1  | [38;5;87m2026-07-13 16:50:39.267940+08:00 [notice] <0.318.0> Feature flags: attempt to enable `stream_sac_coordinator_unblock_group`...[0m
rabbitmq-1  | [38;5;87m2026-07-13 16:50:39.366320+08:00 [notice] <0.318.0> Feature flags: `stream_sac_coordinator_unblock_group` enabled[0m
rabbitmq-1  | [38;5;87m2026-07-13 16:50:39.366495+08:00 [notice] <0.318.0> Feature flags: attempt to enable `restart_streams`...[0m
rabbitmq-1  | [38;5;87m2026-07-13 16:50:39.465161+08:00 [notice] <0.318.0> Feature flags: `restart_streams` enabled[0m
rabbitmq-1  | [38;5;87m2026-07-13 16:50:39.465441+08:00 [notice] <0.318.0> Feature flags: attempt to enable `message_containers`...[0m
rabbitmq-1  | [38;5;87m2026-07-13 16:50:39.561923+08:00 [notice] <0.318.0> Feature flags: `message_containers` enabled[0m
rabbitmq-1  | [38;5;87m2026-07-13 16:50:39.562283+08:00 [notice] <0.318.0> Feature flags: attempt to enable `message_containers_deaths_v2`...[0m
rabbitmq-1  | [38;5;87m2026-07-13 16:50:39.663283+08:00 [notice] <0.318.0> Feature flags: `message_containers_deaths_v2` enabled[0m
rabbitmq-1  | 2026-07-13 16:50:39.663514+08:00 [info] <0.254.0> DB: virgin node -> run peer discovery[0m
rabbitmq-1  | [38;5;214m2026-07-13 16:50:39.663541+08:00 [warning] <0.254.0> Classic peer discovery backend: list of nodes does not contain the local node [][0m
rabbitmq-1  | [38;5;87m2026-07-13 16:50:39.677558+08:00 [notice] <0.44.0> Application mnesia exited with reason: stopped[0m
rabbitmq-1  | 2026-07-13 16:50:40.084171+08:00 [info] <0.254.0> Waiting for Mnesia tables for 30000 ms, 9 retries left[0m
rabbitmq-1  | 2026-07-13 16:50:40.084307+08:00 [info] <0.254.0> Successfully synced tables from a peer[0m
rabbitmq-1  | 2026-07-13 16:50:40.084406+08:00 [info] <0.254.0> Waiting for Mnesia tables for 30000 ms, 9 retries left[0m
rabbitmq-1  | 2026-07-13 16:50:40.084474+08:00 [info] <0.254.0> Successfully synced tables from a peer[0m
rabbitmq-1  | 2026-07-13 16:50:40.113297+08:00 [info] <0.254.0> Waiting for Mnesia tables for 30000 ms, 9 retries left[0m
rabbitmq-1  | 2026-07-13 16:50:40.113493+08:00 [info] <0.254.0> Successfully synced tables from a peer[0m
rabbitmq-1  | 2026-07-13 16:50:40.113632+08:00 [info] <0.254.0> Running boot step tracking_metadata_store defined by app rabbit[0m
rabbitmq-1  | 2026-07-13 16:50:40.113699+08:00 [info] <0.572.0> Setting up a table for connection tracking on this node: tracked_connection[0m
rabbitmq-1  | 2026-07-13 16:50:40.113731+08:00 [info] <0.572.0> Setting up a table for per-vhost connection counting on this node: tracked_connection_per_vhost[0m
rabbitmq-1  | 2026-07-13 16:50:40.113768+08:00 [info] <0.572.0> Setting up a table for per-user connection counting on this node: tracked_connection_per_user[0m
rabbitmq-1  | 2026-07-13 16:50:40.113805+08:00 [info] <0.572.0> Setting up a table for channel tracking on this node: tracked_channel[0m
rabbitmq-1  | 2026-07-13 16:50:40.113862+08:00 [info] <0.572.0> Setting up a table for channel tracking on this node: tracked_channel_per_user[0m
rabbitmq-1  | 2026-07-13 16:50:40.113931+08:00 [info] <0.254.0> Running boot step networking_metadata_store defined by app rabbit[0m
rabbitmq-1  | 2026-07-13 16:50:40.114019+08:00 [info] <0.254.0> Running boot step feature_flags defined by app rabbit[0m
rabbitmq-1  | 2026-07-13 16:50:40.114198+08:00 [info] <0.254.0> Running boot step codec_correctness_check defined by app rabbit[0m
rabbitmq-1  | 2026-07-13 16:50:40.114232+08:00 [info] <0.254.0> Running boot step external_infrastructure defined by app rabbit[0m
rabbitmq-1  | 2026-07-13 16:50:40.114267+08:00 [info] <0.254.0> Running boot step rabbit_event defined by app rabbit[0m
rabbitmq-1  | 2026-07-13 16:50:40.114397+08:00 [info] <0.254.0> Running boot step rabbit_registry defined by app rabbit[0m
rabbitmq-1  | 2026-07-13 16:50:40.114477+08:00 [info] <0.254.0> Running boot step rabbit_auth_mechanism_amqplain defined by app rabbit[0m
rabbitmq-1  | 2026-07-13 16:50:40.114548+08:00 [info] <0.254.0> Running boot step rabbit_auth_mechanism_cr_demo defined by app rabbit[0m
rabbitmq-1  | 2026-07-13 16:50:40.114574+08:00 [info] <0.254.0> Running boot step rabbit_auth_mechanism_plain defined by app rabbit[0m
rabbitmq-1  | 2026-07-13 16:50:40.114593+08:00 [info] <0.254.0> Running boot step rabbit_exchange_type_direct defined by app rabbit[0m
rabbitmq-1  | 2026-07-13 16:50:40.114640+08:00 [info] <0.254.0> Running boot step rabbit_exchange_type_fanout defined by app rabbit[0m
rabbitmq-1  | 2026-07-13 16:50:40.114692+08:00 [info] <0.254.0> Running boot step rabbit_exchange_type_headers defined by app rabbit[0m
rabbitmq-1  | 2026-07-13 16:50:40.114731+08:00 [info] <0.254.0> Running boot step rabbit_exchange_type_topic defined by app rabbit[0m
rabbitmq-1  | 2026-07-13 16:50:40.114780+08:00 [info] <0.254.0> Running boot step rabbit_mirror_queue_mode_all defined by app rabbit[0m
rabbitmq-1  | 2026-07-13 16:50:40.114833+08:00 [info] <0.254.0> Running boot step rabbit_mirror_queue_mode_exactly defined by app rabbit[0m
rabbitmq-1  | 2026-07-13 16:50:40.114876+08:00 [info] <0.254.0> Running boot step rabbit_mirror_queue_mode_nodes defined by app rabbit[0m
rabbitmq-1  | 2026-07-13 16:50:40.114903+08:00 [info] <0.254.0> Running boot step rabbit_priority_queue defined by app rabbit[0m
rabbitmq-1  | 2026-07-13 16:50:40.114917+08:00 [info] <0.254.0> Priority queues enabled, real BQ is rabbit_variable_queue[0m
rabbitmq-1  | 2026-07-13 16:50:40.114972+08:00 [info] <0.254.0> Running boot step rabbit_queue_location_client_local defined by app rabbit[0m
rabbitmq-1  | 2026-07-13 16:50:40.115017+08:00 [info] <0.254.0> Running boot step rabbit_queue_location_min_masters defined by app rabbit[0m
rabbitmq-1  | 2026-07-13 16:50:40.115048+08:00 [info] <0.254.0> Running boot step rabbit_queue_location_random defined by app rabbit[0m
rabbitmq-1  | 2026-07-13 16:50:40.115071+08:00 [info] <0.254.0> Running boot step kernel_ready defined by app rabbit[0m
